id,date_time,is_holiday,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,air_pollution_index,traffic_volume
26660,9/16/2016 9:00,None,77,1,285,6,6,290.34,0,0,75,Rain,74,4817
3091,1/21/2013 17:00,None,96,2,230,4,4,258.69,0,0,90,Haze,78,4420
14430,5/18/2014 22:00,None,41,5,170,7,7,290.55,0,0,1,Clear,155,2002
7487,7/7/2013 3:00,None,93,1,80,3,3,296.61,0,0,56,Clouds,214,393
14696,5/28/2014 3:00,None,77,6,174,4,4,287.91,0,0,90,Clouds,79,389
933,11/6/2012 9:00,None,74,3,160,5,5,274.91,0,0,99,Clear,216,5720
10327,12/3/2013 1:00,None,68,1,302,7,7,274.21,0,0,64,Drizzle,59,316
32834,4/19/2017 8:00,None,73,3,306,2,2,279.62,0,0,90,Clouds,198,5889
27638,10/27/2016 22:00,None,74,7,350,5,5,280.686,0,0,64,Clouds,263,1860
10488,12/7/2013 15:00,None,68,1,195,1,1,255.1,0,0,40,Clouds,264,4839
11961,2/2/2014 18:00,None,55,7,150,6,6,259.5,0,0,1,Clear,98,2185
30844,2/7/2017 12:00,None,79,7,340,4,4,268.96,0,0,90,Snow,241,4339
23964,6/5/2016 11:00,None,56,2,90,4,4,295.87,0,0,20,Clouds,165,4397
18058,9/7/2015 17:00,None,75,3,251,5,5,299.48,0,0,1,Clear,283,3798
33744,5/17/2017 21:00,None,85,1,328,5,5,287.88,0,0,90,Rain,269,2348
32256,4/1/2017 1:00,None,71,2,310,1,1,275.01,0,0,1,Clear,128,868
31603,3/9/2017 4:00,None,81,6,120,6,6,269.35,0,0,1,Clear,122,830
23883,6/2/2016 18:00,None,78,3,302,9,9,295.28,0,0,1,Clear,287,4795
685,10/27/2012 0:00,None,48,2,140,6,6,276.01,0,0,90,Clouds,239,1159
32744,4/15/2017 21:00,None,33,9,270,2,2,286.08,0,0,40,Rain,99,2704
8198,8/5/2013 8:00,None,64,5,51,7,7,286.58,0,0,76,Clouds,115,5876
29394,12/23/2016 16:00,None,72,7,310,2,2,274.02,0,0,90,Drizzle,149,4524
15014,6/8/2014 9:00,None,94,0,131,8,8,288.46,0,0,1,Clear,60,3327
1401,11/23/2012 7:00,None,59,3,210,3,3,283.35,0,0,75,Clouds,237,2381
8120,8/1/2013 23:00,None,49,1,354,9,9,290.38,0,0,0,Clear,218,2367
21804,3/15/2016 6:00,None,49,7,185,4,4,284.86,0,0,90,Drizzle,34,5375
5916,5/10/2013 10:00,None,42,7,100,5,5,287.1,0,0,90,Drizzle,29,4812
26172,8/30/2016 2:00,None,56,1,120,2,2,293.1,3.05,0,75,Mist,275,225
30500,1/26/2017 0:00,None,68,2,150,5,5,271.72,0,0,90,Snow,75,548
21458,2/23/2016 10:00,None,74,4,318,6,6,274.65,0,0,75,Mist,64,4321
11681,1/22/2014 18:00,None,74,0,0,6,6,254.2,0,0,64,Clouds,27,4504
5377,4/21/2013 22:00,None,55,3,320,2,2,273.65,0,0,1,Clear,84,1606
14983,6/7/2014 12:00,None,91,4,107,4,4,286.23,1.21,0,90,Mist,74,5292
31827,3/17/2017 18:00,None,51,2,140,2,2,276.4,0,0,90,Drizzle,269,4880
6631,6/3/2013 1:00,None,28,2,50,2,2,284,0,0,90,Clouds,48,355
15958,8/7/2014 3:00,None,77,2,344,7,7,289.99,0,0,1,Mist,208,424
20709,1/20/2016 2:00,None,86,6,312,9,9,260.5,0,0,90,Mist,281,254
18840,10/7/2015 14:00,None,80,3,290,3,3,289.42,0,0,1,Clear,28,5211
23329,5/13/2016 18:00,None,65,4,110,6,6,279.56,0,0,90,Clouds,44,4788
23212,5/10/2016 13:00,None,83,2,17,4,4,284.79,0,0,90,Mist,122,4983
858,11/3/2012 5:00,None,60,2,102,5,5,269.56,0,0,1,Clear,16,703
5867,5/8/2013 20:00,None,68,7,330,8,8,296.6,0,0,1,Clear,298,3219
23472,5/19/2016 18:00,None,76,5,142,5,5,295.55,0,0,75,Clouds,79,4756
3655,2/16/2013 8:00,None,63,5,20,2,2,258.2,0,0,40,Clouds,124,2807
12100,2/8/2014 13:00,None,92,4,150,5,5,262.25,0,0,90,Clouds,85,4520
32034,3/24/2017 20:00,None,93,3,320,6,6,277.9,0,0,90,Clouds,209,3177
27434,10/19/2016 1:00,None,82,10,170,1,1,282.737,0,0,0,Clear,99,403
221,10/12/2012 5:00,None,57,7,270,7,7,280.77,0,0,72,Drizzle,208,2561
6982,6/14/2013 15:00,None,68,1,192,5,5,297.46,0,0,0,Clear,210,5939
10894,12/23/2013 9:00,None,79,4,271,8,8,254.41,0,0,64,Haze,259,4314
26128,8/28/2016 17:00,None,88,2,117,3,3,301.13,0,0,40,Clouds,253,3793
31553,3/7/2017 2:00,None,63,1,217,2,2,274.65,0,0,90,Snow,58,237
23562,5/23/2016 12:00,None,50,4,309,9,9,296.87,0.25,0,75,Rain,295,4754
28053,11/13/2016 22:00,None,100,7,30,8,8,282.33,0,0,1,Clear,130,1228
7994,7/28/2013 8:00,None,86,2,110,3,3,284.93,0,0,48,Clouds,238,1723
25679,8/12/2016 13:00,None,88,3,190,6,6,297.73,0,0,12,Clouds,133,4568
22018,3/25/2016 2:00,None,71,6,80,3,3,271.29,0,0,1,Clear,281,391
1262,11/17/2012 19:00,None,42,5,180,4,4,274.33,0,0,20,Clouds,258,3265
27411,10/18/2016 2:00,None,93,5,110,1,1,284.223,0,0,20,Rain,167,310
21221,2/11/2016 9:00,None,69,5,297,4,4,257.75,0,0,75,Snow,269,5017
2968,1/16/2013 7:00,None,89,4,269,3,3,260.08,0,0,1,Clear,162,5709
21124,2/7/2016 11:00,None,66,4,189,8,8,277.15,0,0,75,Clouds,170,3801
8735,8/30/2013 19:00,None,63,4,165,7,7,303.93,0,0,0,Clear,163,4057
12880,3/13/2014 4:00,None,73,8,300,9,9,269.72,0,0,90,Clouds,65,841
22479,4/15/2016 19:00,None,48,4,72,7,7,295.02,0,0,75,Clouds,150,4033
26456,9/8/2016 17:00,None,81,6,290,7,7,297.4,0,0,1,Clear,188,5450
10620,12/12/2013 11:00,None,68,1,280,4,4,261.66,0,0,64,Clouds,218,4841
2060,12/16/2012 8:00,None,77,3,340,5,5,274.94,0,0,90,Drizzle,226,1616
6332,5/23/2013 12:00,None,78,4,168,1,1,282.76,0,0,90,Rain,260,5227
5802,5/6/2013 3:00,None,93,4,110,2,2,277.03,0,0,90,Clouds,14,284
22959,5/1/2016 13:00,None,79,2,184,9,9,287.03,0,0,75,Clouds,175,4756
30274,1/20/2017 9:00,None,93,2,258,8,8,275.08,0,0,90,Drizzle,246,4779
6584,6/1/2013 4:00,None,34,3,30,6,6,290,0,0,1,Clear,299,421
23863,6/1/2016 22:00,None,96,3,263,8,8,288.38,0,0,75,Clouds,51,1922
17672,8/23/2015 18:00,None,60,8,301,2,2,291.97,0,0,75,Clouds,111,3910
14303,5/13/2014 15:00,None,100,1,60,6,6,284.03,0.25,0,32,Rain,140,6110
18975,10/13/2015 0:00,None,77,5,302,1,1,281.16,0,0,90,Rain,23,444
6351,5/23/2013 22:00,None,85,2,157,9,9,283.43,0,0,90,Rain,83,1670
33490,5/9/2017 15:00,None,88,2,110,5,5,292.79,0,0,40,Clouds,170,5746
4348,3/17/2013 10:00,None,87,3,260,3,3,265.97,0,0,1,Clear,222,3371
26307,9/4/2016 14:00,None,70,3,81,4,4,298.06,0,0,90,Clouds,290,3866
26647,9/15/2016 23:00,None,46,4,327,6,6,289.88,0,0,75,Mist,18,1161
843,11/2/2012 14:00,None,86,1,60,6,6,279.64,0,0,1,Clear,78,5669
11437,1/13/2014 20:00,None,68,2,297,3,3,269.2,0,0,64,Snow,57,2313
8212,8/5/2013 22:00,None,74,5,122,5,5,290.16,0,0,92,Clouds,53,1818
31334,2/27/2017 4:00,None,86,2,20,2,2,270.08,0,0,90,Clouds,103,848
5513,4/25/2013 22:00,None,87,4,110,3,3,275.36,0,0,75,Clouds,244,2331
5135,4/15/2013 1:00,None,69,5,350,1,1,271.7,0,0,1,Clear,10,267
647,10/26/2012 4:00,None,86,2,230,9,9,278.93,0,0,90,Drizzle,61,705
3211,1/28/2013 14:00,None,92,5,300,5,5,272.85,0,0,90,Mist,215,4799
8357,8/12/2013 3:00,None,49,3,187,2,2,290.71,0,0,80,Clouds,109,372
31947,3/22/2017 18:00,None,69,4,250,9,9,276.59,0,0,75,Clouds,165,4575
25203,7/24/2016 8:00,None,71,3,249,4,4,296.05,0,0,40,Clouds,102,1872
5312,4/19/2013 21:00,None,87,6,20,7,7,272.96,0,0,90,Mist,91,3164
16721,7/20/2015 12:00,None,97,4,122,3,3,297.67,0,0,1,Clear,215,4570
15641,7/20/2014 12:00,None,87,5,330,7,7,300.63,0,0,75,Clouds,241,4682
30745,2/3/2017 21:00,None,69,2,46,6,6,263.89,0,0,1,Clear,295,3462
27216,10/9/2016 16:00,None,57,5,202,4,4,287.464,0,0,0,Clear,190,4193
196,10/10/2012 23:00,None,43,4,180,5,5,282.6,0,0,81,Clear,278,1037
23897,6/3/2016 8:00,None,60,3,227,5,5,290.74,0,0,75,Clouds,197,5471
17186,8/7/2015 13:00,None,77,2,205,7,7,297.75,0,0,40,Clouds,104,4975
23466,5/19/2016 12:00,None,73,3,115,8,8,294.44,0,0,40,Clouds,32,5120
16432,7/10/2015 3:00,None,96,2,81,6,6,291.35,0,0,40,Clouds,26,379
10027,11/21/2013 10:00,None,72,5,310,7,7,271.93,0,0,90,Clouds,266,4679
14753,5/30/2014 12:00,None,87,2,19,7,7,301.65,0,0,20,Clouds,82,5444
3094,1/21/2013 21:00,None,95,1,183,2,2,255.58,0,0,20,Clouds,294,1790
29606,12/30/2016 4:00,None,70,4,338,3,3,265.28,0,0,1,Clear,173,750
10799,12/19/2013 16:00,None,68,1,187,1,1,264.38,0,0,64,Clouds,146,6310
4707,4/1/2013 9:00,None,80,8,90,6,6,274.39,0,0,90,Mist,184,4820
14149,5/8/2014 20:00,None,70,1,286,4,4,286.89,3.19,0,75,Thunderstorm,178,2740
19596,11/20/2015 3:00,None,83,4,184,7,7,270.58,0,0,1,Clear,245,367
13594,4/11/2014 23:00,None,33,1,0,5,5,284.23,0,0,90,Clouds,224,1941
14337,5/15/2014 1:00,None,63,5,330,8,8,279.41,0.25,0,40,Rain,31,344
21842,3/16/2016 9:00,None,72,1,247,6,6,277.66,0,0,90,Drizzle,182,5422
23274,5/12/2016 0:00,None,61,5,187,5,5,284.32,0,0,90,Mist,261,573
32898,4/20/2017 12:00,None,67,2,144,6,6,279.55,0,0,90,Drizzle,220,5099
22508,4/17/2016 2:00,None,58,1,28,7,7,290.44,0,0,1,Clear,71,648
7549,7/9/2013 13:00,None,54,2,285,4,4,298.45,0,0,0,Clear,92,5324
13255,3/28/2014 19:00,None,50,4,230,9,9,274.27,0,0,90,Clouds,279,3645
3533,2/11/2013 19:00,None,68,0,0,8,8,273.47,0,0,90,Mist,177,2782
22538,4/18/2016 12:00,None,47,1,225,5,5,296.73,0,0,75,Clouds,28,4899
19880,12/8/2015 6:00,None,71,5,305,2,2,272.22,0,0,1,Mist,247,5717
13709,4/16/2014 18:00,None,66,4,300,5,5,273.43,1.71,0,90,Rain,13,4330
19390,11/9/2015 12:00,None,66,1,280,4,4,287.36,0,0,1,Clear,159,4587
18811,10/6/2015 7:00,None,98,7,318,5,5,285.36,0,0,90,Clouds,170,6336
1536,11/28/2012 16:00,None,96,5,155,5,5,275.25,0,0,40,Clouds,111,6116
9387,10/9/2013 21:00,None,73,4,221,1,1,289.38,0,0,1,Clear,188,2517
3284,2/1/2013 19:00,None,100,5,350,3,3,250.24,0,0,70,Clouds,291,2945
11549,1/17/2014 8:00,None,59,3,331,2,2,255.92,0,0,20,Clouds,261,5519
25597,8/9/2016 3:00,None,94,3,70,9,9,293.03,0.6,0,64,Rain,166,484
10429,12/5/2013 1:00,None,76,3,180,2,2,261.62,0,0,64,Snow,91,326
23765,5/29/2016 10:00,None,86,3,343,9,9,292.16,0,0,75,Clouds,242,3307
31849,3/18/2017 15:00,None,58,1,130,1,1,276.08,0,0,1,Clear,290,4788
24837,7/10/2016 8:00,None,73,5,200,6,6,291.74,0.51,0,75,Thunderstorm,91,2407
13473,4/6/2014 22:00,None,22,1,0,2,2,280.93,0,0,90,Clouds,113,1753
29404,12/23/2016 21:00,None,72,7,310,1,1,274.35,0,0,90,Mist,285,2529
753,10/29/2012 20:00,None,31,0,0,1,1,276.77,0,0,40,Clouds,148,2636
15705,7/23/2014 4:00,None,39,3,230,9,9,289.81,0,0,1,Clear,65,971
6625,6/2/2013 19:00,None,68,1,97,1,1,287.43,0,0,90,Clouds,200,3308
24226,6/16/2016 8:00,None,52,3,19,6,6,290.94,0,0,0,Clear,89,5667
8265,8/8/2013 1:00,None,71,1,248,6,6,289.11,0,0,0,Clear,25,437
15197,7/2/2014 5:00,None,89,3,123,1,1,286.54,0,0,92,Clouds,98,2956
31531,3/6/2017 9:00,None,25,9,360,2,2,284.08,0,0,90,Mist,37,4802
20127,12/21/2015 14:00,None,87,7,303,6,6,273.4,0,0,90,Clouds,162,5394
322,10/15/2012 21:00,None,93,2,30,5,5,284.49,0,0,90,Clouds,63,2077
15609,7/19/2014 4:00,None,38,6,270,9,9,292.53,0,0,40,Clouds,26,519
33543,5/11/2017 18:00,None,60,2,20,1,1,291.75,0,0,5,Clear,226,5018
15772,7/26/2014 15:00,None,61,5,180,3,3,301.9,0,0,40,Clouds,114,4531
13891,4/24/2014 8:00,None,68,4,316,4,4,277.82,1.71,0,90,Rain,239,5646
16291,7/5/2015 22:00,None,98,2,238,6,6,298.85,0,0,1,Clear,109,2278
31702,3/12/2017 23:00,None,55,7,320,9,9,265.28,0,0,90,Mist,47,2334
14418,5/18/2014 10:00,None,56,4,168,8,8,291.35,0,0,1,Clear,233,4131
20829,1/25/2016 10:00,None,73,3,191,7,7,270.86,0,0,90,Fog,79,4100
6954,6/13/2013 12:00,None,62,2,221,1,1,290.05,3.65,0,100,Thunderstorm,245,5126
31703,3/13/2017 0:00,None,59,7,320,4,4,265.4,0,0,90,Snow,158,658
23688,5/27/2016 14:00,None,75,4,181,5,5,290.9,0.89,0,90,Mist,296,5095
28947,12/9/2016 8:00,None,85,3,150,3,3,262.75,0,0,1,Snow,12,5529
22565,4/19/2016 6:00,None,44,3,28,7,7,282.3,0,0,90,Drizzle,235,5770
31025,2/15/2017 0:00,None,42,4,150,5,5,267.254,0,0,0,Clear,79,671
15389,7/10/2014 23:00,None,43,3,170,8,8,297.33,0,0,76,Rain,74,1405
10008,11/20/2013 17:00,None,85,2,270,6,6,277.41,0,0,40,Clouds,273,6578
2939,1/14/2013 23:00,None,84,7,291,4,4,257.97,0,0,1,Clear,214,909
16559,7/15/2015 2:00,None,95,1,303,7,7,291.3,0,0,1,Clear,168,356
29599,12/29/2016 21:00,None,80,4,340,3,3,270.15,0,0,40,Snow,298,3040
11561,1/17/2014 21:00,None,85,0,87,2,2,276.793,0,0,64,Clouds,210,2614
25869,8/20/2016 11:00,None,82,3,170,8,8,289.56,0,0,75,Rain,42,3924
23874,6/2/2016 10:00,None,78,4,315,8,8,289.13,0,0,75,Clouds,102,4625
3925,2/26/2013 21:00,None,58,4,320,8,8,267.46,0,0,1,Haze,255,3406
1856,12/10/2012 7:00,None,92,5,310,2,2,272.35,0,0,90,Mist,107,4433
14900,6/4/2014 22:00,None,46,1,137,3,3,293.82,0,0,90,Clouds,248,2196
20676,1/17/2016 18:00,None,70,2,75,6,6,252.87,0,0,1,Clear,197,2891
14834,6/2/2014 3:00,None,75,1,123,6,6,291.36,0,0,24,Drizzle,92,401
461,10/20/2012 9:00,None,100,3,50,6,6,281.7,0,0,100,Mist,199,3713
8553,8/21/2013 1:00,None,46,5,130,4,4,296.16,0,0,0,Clear,42,399
20113,12/20/2015 16:00,None,88,2,217,9,9,276.43,0,0,90,Clouds,232,4205
32314,4/3/2017 5:00,None,51,1,164,5,5,281.4,0,0,90,Mist,271,2593
26942,9/28/2016 6:00,None,96,6,270,2,2,282.04,0,0,56,Clouds,222,5691
9671,11/6/2013 16:00,None,68,1,302,1,1,276.19,0,0,64,Clouds,245,6934
27182,10/8/2016 5:00,None,56,1,170,7,7,272.416,0,0,0,Clear,239,739
20878,1/28/2016 1:00,None,58,6,325,9,9,275.86,0,0,90,Clouds,32,365
25914,8/22/2016 3:00,None,57,7,170,2,2,287.96,0,0,1,Clear,109,527
28459,11/25/2016 13:00,None,92,3,263,2,2,275.79,0,0,90,Clouds,202,3908
24034,6/8/2016 8:00,None,57,5,265,4,4,286.21,0,0,0,Clear,113,5841
4357,3/18/2013 3:00,None,80,2,250,6,6,260.54,0,0,1,Clear,52,308
23675,5/27/2016 8:00,None,65,2,225,1,1,291.68,0,0,90,Rain,111,5165
25317,7/28/2016 15:00,None,68,4,160,9,9,296.42,0,0,90,Clouds,215,5351
32070,3/26/2017 1:00,None,57,4,301,1,1,276.55,0,0,90,Mist,83,894
2580,1/1/2013 21:00,None,54,3,210,5,5,255.99,0,0,1,Clear,25,1589
14851,6/2/2014 14:00,None,54,1,192,1,1,298.59,0,0,12,Clouds,240,5320
33112,4/27/2017 4:00,None,83,5,170,1,1,274.29,0,0,90,Mist,270,848
1231,11/16/2012 11:00,None,50,1,290,8,8,276.8,0,0,0,Clear,173,5129
623,10/25/2012 20:00,None,69,6,280,3,3,283.44,0,0,90,Rain,51,2856
16828,7/24/2015 13:00,None,83,3,266,5,5,301.31,0,0,1,Clear,131,5143
7759,7/18/2013 10:00,None,60,3,225,1,1,301.44,0,0,0,Clear,171,4843
26782,9/21/2016 14:00,None,100,1,218,3,3,293.996,0,0,100,Rain,129,4827
20498,1/8/2016 5:00,None,66,1,216,2,2,273.08,0,0,90,Mist,154,2547
17169,8/7/2015 1:00,None,67,2,221,5,5,293.54,3.54,0,90,Thunderstorm,209,452
463,10/20/2012 10:00,None,76,3,30,9,9,282.02,0,0,100,Rain,274,3815
13108,3/22/2014 16:00,None,87,4,130,8,8,266.71,0,0,20,Clouds,267,6016
13396,4/3/2014 17:00,None,87,5,90,5,5,273.11,0.25,0,90,Rain,257,5329
25312,7/28/2016 10:00,None,68,4,160,7,7,292.15,0,0,90,Mist,215,4066
6354,5/24/2013 1:00,None,87,1,23,9,9,283.01,0,0,1,Clear,78,414
17953,9/4/2015 1:00,None,82,5,199,7,7,295.5,0,0,1,Mist,49,530
30781,2/5/2017 9:00,None,79,7,140,5,5,265.09,0,0,75,Snow,291,2834
8684,8/27/2013 22:00,None,59,6,157,2,2,302.47,0,0,0,Clear,212,1844
11328,1/9/2014 7:00,None,94,0,244,9,9,256.74,0,0,64,Clouds,39,6190
15981,6/22/2015 18:00,None,77,3,319,2,2,295.744,0,0,12,Clouds,104,4415
14637,5/25/2014 16:00,None,88,1,259,2,2,299.02,0,0,90,Clouds,103,3674
27469,10/20/2016 19:00,None,63,6,260,9,9,279.032,0,0,24,Clouds,102,2784
10397,12/4/2013 9:00,None,68,1,302,4,4,271.53,1.27,0,90,Rain,103,3876
6819,6/9/2013 9:00,None,76,1,191,9,9,290.09,0,0,24,Clouds,100,2326
13652,4/14/2014 9:00,None,48,4,120,2,2,271.18,0,0,75,Clouds,233,5064
12800,3/9/2014 20:00,None,64,4,50,8,8,277.27,0,0,90,Clouds,98,2778
18090,9/8/2015 20:00,None,74,4,277,5,5,291.7,0,0,1,Clear,100,2924
32572,4/11/2017 9:00,None,62,6,203,7,7,274,0,0,90,Clouds,55,5220
4031,3/3/2013 5:00,None,71,0,0,6,6,259.16,0,0,1,Clear,42,449
14054,5/5/2014 23:00,None,58,1,240,6,6,284.92,0,0,1,Clear,256,1042
19284,11/1/2015 21:00,None,93,4,209,2,2,283.15,0,0,75,Clouds,96,1733
15371,7/10/2014 5:00,None,38,2,262,9,9,287.98,0,0,0,Mist,107,3088
27433,10/19/2016 0:00,None,93,6,163,3,3,282.737,0,0,0,Clear,121,597
3602,2/14/2013 15:00,None,82,4,11,6,6,276.16,0,0,75,Clouds,69,6011
13622,4/13/2014 3:00,None,37,9,330,6,6,279.24,0,0,90,Clouds,232,364
19434,11/12/2015 1:00,None,85,3,162,6,6,280.08,0,0,90,Rain,215,293
3526,2/11/2013 16:00,None,85,0,0,8,8,273.41,0,0,90,Drizzle,266,6202
23417,5/17/2016 11:00,None,96,2,286,6,6,287,0,0,1,Clear,109,4777
8477,8/17/2013 20:00,None,83,5,260,5,5,293.51,0,0,1,Clear,173,3114
9068,9/21/2013 8:00,None,97,1,71,2,2,282.15,0,0,1,Clear,255,3455
29513,12/26/2016 9:00,None,59,4,300,9,9,267.58,0,0,90,Snow,53,1962
27357,10/15/2016 17:00,None,87,1,160,2,2,295.931,0,0,92,Clouds,225,4165
32458,4/7/2017 23:00,None,99,1,87,2,2,282.88,0,0,1,Clear,290,2025
12543,2/26/2014 21:00,None,73,6,350,6,6,258.62,0,0,20,Clouds,78,2332
12535,2/26/2014 13:00,None,86,7,310,5,5,262.77,0,0,75,Clouds,54,4505
11240,1/5/2014 9:00,None,68,0,276,9,9,248.8,0,0,1,Clear,68,1713
5539,4/27/2013 0:00,None,77,3,140,3,3,280.31,0,0,75,Clouds,240,1270
19200,10/28/2015 15:00,None,70,2,128,3,3,275.86,0,0,90,Drizzle,184,5691
16946,7/29/2015 2:00,None,73,3,235,8,8,292.34,0,0,1,Clear,180,305
18911,10/10/2015 12:00,None,80,4,148,8,8,291.63,0,0,1,Clear,266,2962
30790,2/5/2017 18:00,None,86,2,224,6,6,267.72,0,0,1,Clear,13,2711
28376,11/23/2016 9:00,None,61,3,337,2,2,274.15,0,0,90,Snow,57,4056
24173,6/14/2016 3:00,None,61,4,170,1,1,289.78,0,0,68,Clouds,135,371
15554,7/16/2014 21:00,None,99,5,196,9,9,291.89,0,0,1,Clear,89,2911
28302,11/22/2016 6:00,None,79,4,270,3,3,274.34,0,0,90,Snow,120,5654
27898,11/7/2016 12:00,None,78,4,188,7,7,287.97,0,0,90,Clouds,227,4364
31149,2/20/2017 4:00,None,100,2,88,5,5,285.122,0,0,64,Clouds,231,737
4658,3/30/2013 22:00,None,86,2,350,4,4,278.2,0,0,75,Clouds,20,4058
5113,4/14/2013 5:00,None,80,4,300,1,1,271.15,0,0,90,Snow,104,459
29384,12/23/2016 13:00,None,69,7,270,5,5,274.28,0,0,90,Snow,67,4665
5518,4/26/2013 2:00,None,87,3,120,5,5,274.51,0,0,90,Clouds,54,329
24709,7/5/2016 21:00,None,74,2,100,6,6,292.84,1.78,0,90,Thunderstorm,114,1752
26565,9/12/2016 21:00,None,81,4,320,3,3,292.61,0,0,1,Clear,192,2025
23567,5/23/2016 17:00,None,61,4,341,5,5,296.85,0,0,90,Clouds,81,6550
9343,10/7/2013 7:00,None,64,7,216,4,4,279.04,0,0,48,Clouds,267,6527
26555,9/12/2016 13:00,None,70,5,290,2,2,298.85,0,0,40,Clouds,210,4398
33465,5/8/2017 22:00,None,40,8,250,8,8,286.42,0,0,90,Rain,12,1508
15126,6/20/2014 5:00,None,54,4,312,4,4,292.6,0,0,44,Mist,273,2755
627,10/25/2012 21:00,None,64,0,248,7,7,283.22,0,0,90,Mist,233,2587
275,10/14/2012 11:00,None,24,7,330,2,2,282.82,0,0,57,Mist,299,3662
